# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	2227
#@/user_id	c286c5d4-02d2-4839-a588-e8f68a470b72
a 	啊	c=2 d=0.440935 t=2227
gan 	幹	c=1 d=0.090718 t=2227
gan 	敢	c=2 d=0.0584605 t=2227
gan dao 	感到	c=1 d=0.540641 t=2227
gan jue 	感覺	c=1 d=0.0357931 t=2227
gan tan ci 	感嘆詞	c=1 d=0.0581343 t=2227
gan yu 	干預	c=1 d=0.00142298 t=2227
gao 	高	c=3 d=0.201553 t=2227
gao bie 	告別	c=2 d=0.116292 t=2227
gao du 	高度	c=1 d=0.0411719 t=2227
gao qing chu 	搞清楚	c=1 d=0.0350844 t=2227
ge 	個	c=1 d=0.272532 t=2227
ge pai 	鴿派	c=1 d=0.159614 t=2227
ge shou 	歌手	c=1 d=0.167797 t=2227
gei 	給	c=5 d=1.65199 t=2227
gei ni 	給你	c=1 d=0.0812682 t=2227
gen sui 	跟隨	c=2 d=0.00561766 t=2227
geng 	更	c=1 d=0.0306538 t=2227
gong ji 	攻擊	c=1 d=0.00269866 t=2227
gong ping 	公平	c=1 d=0.060205 t=2227
gong shi 	公式	c=2 d=0.00820667 t=2227
gong tong 	共同	c=1 d=0.65377 t=2227
gong wen 	公文	c=1 d=1 t=2206
gou 	溝	c=1 d=0.0547488 t=2227
gou mai 	購買	c=3 d=0.0816999 t=2227
gou zi 	鉤子	c=4 d=3.1038 t=2227
gu dai 	古代	c=2 d=0.00323306 t=2227
gu dia 	股嗲	c=1 d=0.00162053 t=2227
gu dian 	古典	c=2 d=0.366282 t=2227
gu ge 	谷歌	c=2 d=0.162244 t=2227
gu lao 	古老	c=3 d=0.00489503 t=2227
gua 	掛	c=2 d=0.451886 t=2227
guan bi 	關閉	c=3 d=0.927743 t=2227
guan chuan 	貫穿	c=2 d=0.057615 t=2227
guan li yuan 	管理員	c=1 d=0.375311 t=2227
guan lian 	關聯	c=1 d=0.0323869 t=2227
guan shang 	關上	c=1 d=0.14808 t=2227
guan wo pi shi 	關我屁事	c=1 d=0.092089 t=2227
